2013	1	wofford	baylor	8/31/13 7:30 PM	Waco, TX	
2013	2	buffalo	baylor	9/7/13 3:30 PM	Waco, TX	
2013	4	ulmonroe	baylor	9/21/13	Waco, TX	
2013	6	westvirginia	baylor	10/5/13	Waco, TX	
2013	8	iowastate	baylor	10/19/13	Waco, TX	
2013	11	oklahoma	baylor	11/7/13 7:30 PM	Waco, TX	
2013	12	texastech	baylor	11/16/13	Arlington, TX	neutral
2013	15	texas	baylor	12/7/13	Waco, TX	
2013	1	northerniowa	iowastate	8/31/13 8:00 PM	Ames, IA	
2013	3	iowa	iowastate	9/14/13 6:00 PM	Ames, IA	
2013	5	iowastate	tulsa	9/28/13 7:30 PM	Tulsa, OK	
2013	6	texas	iowastate	10/3/13 7:30 PM	Ames, IA	
2013	9	okstsate	iowastate	10/26/13	Ames, IA	
2013	11	tcu	iowastate	11/9/13	Ames, IA	
2013	13	kansas	iowastate	11/23/13	Ames, IA	
2013	2	southdakota	kansas	9/7/13 7:00 PM	Lawrence, KS	
2013	4	latech	kansas	9/28/13	Lawrence, KS	
2013	6	texastech	kansas	10/5/13	Lawrence, KS	
2013	8	oklahoma	kansas	10/19/13	Lawrence, KS	
2013	9	baylor	kansas	10/26/13	Lawrence, KS	
2013	12	westvirginia	kansas	11/16/13	Lawrence, KS	
2013	14	kansasstate	kansas	11/30/13	Lawrence, KS	
2013	1	northdakotastate	kansasstate	8/31/13 8:30 PM	Manhattan, KS
2013	2	ullafayette	kansasstate	9/7/13 6:30 PM	Manhattan, KS	
2013	3	umass	kansasstate	9/14/13 7:00 PM	Manhattan, KS	
2013	7	baylor	kansasstate	10/12/13	Manhattan, KS	
2013	9	westvirginia	kansasstate	10/26/13	Manhattan, KS	
2013	10	iowastate	kansasstate	11/2/13	Manhattan, KS	
2013	12	tcu	kansasstate	11/16/13	Manhattan, KS	
2013	13	oklahoma	kansasstate	11/23/13	Manhattan, KS	
2013	1	ulmonroe	oklahoma	8/31/13 7:00 PM	Norman, OK	
2013	2	westvirginia	oklahoma	9/7/13 7:00 PM	Norman, OK	
2013	3	tulsa	oklahoma	9/14/13 12:00 PM	Norman, OK	
2013	5	oklahoma	notredame	9/28/13 3:30 PM	Notre Dame, IN		slate
2013	6	tcu	oklahoma	10/5/13	Norman, OK	
2013	7	oklahoma	texas	10/12/13	Dallas, TX	neutral	Red River Rivalry	slate
2013	9	texastech	oklahoma	10/26/13	Norman, OK	
2013	12	iowastate	oklahoma	11/16/13	Norman, OK	
2013	2	okstate	utsa	9/7/13 12:00 PM	San Antonio, TX	
2013	3	lamar	okstate	9/14/13	7:30 PM	Stillwater, OK	
2013	6	kansasstate	okstate	10/5/13	Stillwater, OK	
2013	8	tcu	okstate	10/19/13	Stillwater, OK	
2013	11	kansas	okstate	11/9/13	Stillwater, OK	
2013	13	baylor	okstate	11/23/13	Stillwater, OK	
2013	15	oklahoma	okstate	12/7/13	Stillwater, OK		slate
2013	1	newmexicostate	texas	8/31/13 8:00 PM	Austin, TX	
2013	2	texas	byu	9/7/13 7:00 PM	Provo, UT	
2013	4	kansasstate	texas	9/21/13	Austin, TX	
2013	10	kansas	texas	11/2/13 3:30 PM	Austin, TX	
2013	12	okstate	texas	11/16/13	Austin, TX	
2013	14	texastech	texas	11/28/13 7:30 PM	Austin, TX	
2013	2	southeasternlouisiana	tcu	9/7/13 12:00 PM	Fort Worth, TX	
2013	5	smu	tcu	9/28/13	Fort Worth, TX	
2013	7	kansas	tcu	10/12/13	Fort Worth, TX	
2013	9	texas	tcu	10/26/13	Fort Worth, TX	
2013	10	westvirginia	tcu	11/2/13	Fort Worth, TX	
2013	14	baylor	tcu	11/30/13	Fort Worth, TX	
2013	1	texastech	smu	8/31/13 8:00 PM	Dallas, TX	
2013	2	stephenfaustin	texastech	9/7/13 7:00 PM	Lubbock, TX	
2013	3	tcu	texastech	9/14/13 7:30 PM	Lubbock, TX	
2013	4	texasstate	texastech	9/21/13 7:00 PM	Lubbock, TX	
2013	7	iowastate	texastech	10/12/13	Lubbock, TX	
2013	10	okstate	texastech	11/2/13	Lubbock, TX	
2013	11	kansasstate	texastech	11/9/13	Lubbock, TX	
2013	1	williammary	westvirginia	8/31/13 12:00 PM	Morgantown, WV	
2013	3	georgiastate	westvirginia	9/14/13 12:00 PM	Morgantown, WV	
2013	5	okstate	westvirginia	9/28/13	Morgantown, WV	
2013	8	texastech	westvirginia	10/19/13	Morgantown, WV	
2013	11	texas	westvirginia	11/9/13	Morgantown, WV	
2013	14	iowastate	westvirginia	11/30/13	Morgantown, WV	